Timestamp,Contract,Quantity,Price,Commission
2010-07-09 09:30:00,GOOGL,152,236.71070326440642,0.0
2010-07-12 09:30:00,GOOGL,247,236.91633803925686,0.0
2010-07-13 09:30:00,GOOGL,9703,241.87163456492075,0.0
2010-07-14 09:30:00,GOOGL,-127,245.69844757006402,0.0
2010-08-16 09:30:00,GOOGL,-9273,242.58884853574054,0.0
2010-08-17 09:30:00,GOOGL,36,245.02135745775163,0.0
2010-08-18 09:30:00,GOOGL,93,245.97931457961582,0.0
2010-08-19 09:30:00,GOOGL,-156,241.24971475805606,0.0
2010-08-20 09:30:00,GOOGL,-283,234.70952582134987,0.0
2010-08-23 09:30:00,GOOGL,-127,231.46450876456387,0.0
2010-08-24 09:30:00,GOOGL,45,229.55862548546236,0.0
2010-08-25 09:30:00,GOOGL,-283,225.6967041041251,0.0
2010-08-26 09:30:00,GOOGL,76,228.73608638606066,0.0
2010-08-27 09:30:00,GOOGL,-84,226.98066757636192,0.0
2010-08-30 09:30:00,GOOGL,182,230.285870420909,0.0
2010-08-31 09:30:00,GOOGL,-140,225.7518744095728,0.0
2010-09-01 09:30:00,GOOGL,-62,228.19441429621077,0.0
2010-09-02 09:30:00,GOOGL,239,232.13658339456282,0.0
2010-09-03 09:30:00,GOOGL,64,235.98847381127322,0.0
2010-09-07 09:30:00,GOOGL,154,232.96915345859136,0.0
2010-09-08 09:30:00,GOOGL,9891,233.3152217382177,0.0
2010-09-09 09:30:00,GOOGL,-16,239.6547913823869,0.0
2010-11-03 09:30:00,GOOGL,-9985,309.7060328539939,0.0
2010-11-04 09:30:00,GOOGL,43,313.2870872257794,0.0
2010-11-05 09:30:00,GOOGL,65,312.5548268080193,0.0
2010-11-08 09:30:00,GOOGL,13,312.976127322347,0.0
2010-11-09 09:30:00,GOOGL,26,315.97538574577516,0.0
2010-11-10 09:30:00,GOOGL,-30,312.0031237535426,0.0
2010-11-11 09:30:00,GOOGL,-30,310.8094389629474,0.0
2010-11-12 09:30:00,GOOGL,-90,307.94559856198174,0.0
2010-11-15 09:30:00,GOOGL,-230,302.4737073580351,0.0
2010-11-16 09:30:00,GOOGL,-137,297.29772961058046,0.0
